
##################################################################################
Running test workload A try 1
02:52:12.159 [Thread-3] INFO  c.a.mongodb.MongoClientConfiguration - Not validating the replica set name is 'myReplicaSet'.
mongo connection created with mongodb://192.168.5.2:27017/ycsb?replicaSet=myReplicaSet
[OVERALL], RunTime(ms), 1054
[OVERALL], Throughput(ops/sec), 9487.666034155598
[TOTAL_GCS_PS_Scavenge], Count, 2
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 5
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.47438330170777987
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 2
[TOTAL_GC_TIME], Time(ms), 5
[TOTAL_GC_TIME_%], Time(%), 0.47438330170777987
[READ], Operations, 4992
[READ], AverageLatency(us), 71.79066506410257
[READ], MinLatency(us), 22
[READ], MaxLatency(us), 51679
[READ], 95thPercentileLatency(us), 124
[READ], 99thPercentileLatency(us), 237
[READ], Return=OK, 4992
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 680.0
[CLEANUP], MinLatency(us), 680
[CLEANUP], MaxLatency(us), 680
[CLEANUP], 95thPercentileLatency(us), 680
[CLEANUP], 99thPercentileLatency(us), 680
[UPDATE], Operations, 5008
[UPDATE], AverageLatency(us), 128.0191693290735
[UPDATE], MinLatency(us), 53
[UPDATE], MaxLatency(us), 3671
[UPDATE], 95thPercentileLatency(us), 233
[UPDATE], 99thPercentileLatency(us), 472
[UPDATE], Return=OK, 5008

##################################################################################
Running test workload workloadb try 1
02:52:15.259 [Thread-3] INFO  c.a.mongodb.MongoClientConfiguration - Not validating the replica set name is 'myReplicaSet'.
mongo connection created with mongodb://192.168.5.2:27017/ycsb?replicaSet=myReplicaSet
[OVERALL], RunTime(ms), 647
[OVERALL], Throughput(ops/sec), 15455.950540958269
[TOTAL_GCS_PS_Scavenge], Count, 1
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 3
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.46367851622874806
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 1
[TOTAL_GC_TIME], Time(ms), 3
[TOTAL_GC_TIME_%], Time(%), 0.46367851622874806
[READ], Operations, 8997
[READ], AverageLatency(us), 44.61476047571413
[READ], MinLatency(us), 21
[READ], MaxLatency(us), 1819
[READ], 95thPercentileLatency(us), 93
[READ], 99thPercentileLatency(us), 154
[READ], Return=OK, 8997
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 575.0
[CLEANUP], MinLatency(us), 575
[CLEANUP], MaxLatency(us), 575
[CLEANUP], 95thPercentileLatency(us), 575
[CLEANUP], 99thPercentileLatency(us), 575
[UPDATE], Operations, 1003
[UPDATE], AverageLatency(us), 201.66999002991028
[UPDATE], MinLatency(us), 58
[UPDATE], MaxLatency(us), 50495
[UPDATE], 95thPercentileLatency(us), 248
[UPDATE], 99thPercentileLatency(us), 427
[UPDATE], Return=OK, 1003

##################################################################################
Running test workload workloadc try 1
02:52:17.831 [Thread-3] INFO  c.a.mongodb.MongoClientConfiguration - Not validating the replica set name is 'myReplicaSet'.
mongo connection created with mongodb://192.168.5.2:27017/ycsb?replicaSet=myReplicaSet
[OVERALL], RunTime(ms), 452
[OVERALL], Throughput(ops/sec), 22123.893805309734
[TOTAL_GCS_PS_Scavenge], Count, 1
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 3
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.6637168141592921
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 1
[TOTAL_GC_TIME], Time(ms), 3
[TOTAL_GC_TIME_%], Time(%), 0.6637168141592921
[READ], Operations, 10000
